sample	drug	dbID	syn	pcID	gvm
Lipopolysaccharide 11970143 human GSE5504 sample 3483	lipopolysaccharide	db11970143		11970143	pc11970143
isoflurane 3763 rat GSE6433 sample 3654	isoflurane	db3763		3763	pc3763
trastuzumab DB00072 human GSE31432 sample 3123	trastuzumab	db00072			trastuzumab
pioglitazone DB01132 rat GSE21329 sample 2841	pioglitazone	db01132		4829	pc4829
curcumin 969516 human GSE10896 sample 3406	curcumin	db969516		969516	pc969516
HYPOCHLOROUS ACID 24341 human GSE11630 sample 3197	hypochlorous acid	db24341		24341	pc24341
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3318	trichloroethylene	db6575		6575	pc6575
bortezomib DB00188 human GSE30931 sample 2686	bortezomib	db00188		387447	pc387447
NICKEL 935 human GSE6281 sample 3480	nickel	db935		935	pc935
permethrin DB04930 rat GSE7955 sample 3417	permethrin	db04930		40326	pc40326
PLX4032 DB05238 human GSE24862 sample 2566	plx4032	db05238		42611257	pc42611257
etanercept DB00005 human GSE11903 sample 2610	etanercept	db00005			etanercept
doxorubicin, EC50, 1 d 31703 human GSE6930 sample 3260	doxorubicin	db31703		31703	pc31703
vitamin C DB00126 mouse GSE32994 sample 3507	vitamin c	db00126		54670067	pc54670067
SODIUM BUTYRATE 5222465 mouse GSE4410 sample 3582	sodium butyrate	db5222465		104775	pc104775
Adriamycin DB00997 mouse GSE44355 sample 2486	adriamycin	db00997		31703	pc31703
Lapatinib DB01259 human GSE38376 sample 2583	lapatinib	db01259		208908	pc208908
Telapristone Acetate 9806190 human GSE67561 sample 3695	telapristone acetate	db9806190		9806190	pc9806190
fluoxetine DB00472 mouse GSE35765 sample 2500	fluoxetine	db00472		3386	pc3386
apratoxin A 6326668 human GSE2742 sample 3066	apratoxin a	db6326668		6326668	pc6326668
decitabine DB01262 human GSE29077 sample 2540	decitabine	db01262		451668	pc451668
cisplatin DB00515 human GSE28274 sample 2531	cisplatin	db00515			cisplatin
3,3',4,4'-Tetrachlorobiphenyl 36187 human GSE6878 sample 3272	3,3',4,4'-tetrachlorobiphenyl	db36187		36187	pc36187
doxorubicin, EC50, 3 d 31703 human GSE6930 sample 3261	doxorubicin	db31703		31703	pc31703
estradiol 5757 human GSE12446 sample 3203	estradiol	db5757		5757	pc5757
5-aminosalicylic acid 4075 human GSE38713 sample 3195	5-aminosalicylic acid	db4075		4075	pc4075
VX 39793 human GSE33606 sample 3376	vx	db39793		39793	pc39793
torcetrapib 159325 human GSE15918 sample 3035	torcetrapib	db159325		159325	pc159325
lapatinib 208908 human GSE38376 sample 3245	lapatinib	db208908		208908	pc208908
SODIUM PYRUVATE 23662274 mouse GSE5497 sample 3565	sodium pyruvate	db23662274		23662274	pc23662274
PBDE 47 95170 rat GSE19868 sample 3393	pbde 47	db95170		95170	pc95170
phenytoin 1775 rat GSE2880 sample 3034	phenytoin	db1775		1775	pc1775
ciprofloxacin 2764 human GSE9166 sample 2624	ciprofloxacin	db2764		2764	pc2764
Hydrogen Peroxide 784 mouse GSE3078 sample 3599	hydrogen peroxide	db784		784	pc784
sorafenib DB00398 human GSE39192 sample 3055	sorafenib	db00398		216239	pc216239
cetuximab DB00002 human GSE61495 sample 3135	cetuximab	db00002			cetuximab
PLX4032 DB05238 human GSE24862 sample 2565	plx4032	db05238		42611257	pc42611257
estradiol DB00783 human GSE1153 sample 2734	estradiol	db00783		5757	pc5757
BPDE 41322 human GSE19510 sample 3379	bpde	db41322		41322	pc41322
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3324	trichloroethylene	db6575		6575	pc6575
Sodium dichromate 25408 rat GSE31503 sample 3284	sodium dichromate	db25408		25408	pc25408
cetuximab DB00002 human GSE61495 sample 3134	cetuximab	db00002			cetuximab
isotretinoin 5282379 human GSE10433 sample 2498	isotretinoin	db5282379		5282379	pc5282379
methylprednisolone 6741 rat GSE490 sample 3668	methylprednisolone	db6741		6741	pc6741
temozolomide 5394 human GSE43452 sample 2555	temozolomide	db5394		5394	pc5394
2,3,7,8-tetrachlorodibenzo-p-dioxin 15625 mouse GSE4873 sample 2595	2,3,7,8-tetrachlorodibenzo-p-dioxin	db15625		15625	pc15625
Mercury 23931 human GSE6907 sample 3533	mercury	db23931		23931	pc23931
estradiol 5757 mouse GSE2195 sample 3624	estradiol	db5757		5757	pc5757
pioglitazone DB01132 rat GSE21329 sample 2842	pioglitazone	db01132		4829	pc4829
estradiol 5757 human GSE16683 sample 3394	estradiol	db5757		5757	pc5757
Bisphenol A 6623 human GSE17624 sample 2659	bisphenol a	db6623		6623	pc6623
paclitaxel DB01229 human GSE19136 sample 2576	paclitaxel	db01229		36314	pc36314
cyclosporine DB00091 mouse GSE1809 sample 3299	cyclosporine	db00091		5284373	pc5284373
deltamethrin 40585 rat GSE7955 sample 3419	deltamethrin	db40585		40585	pc40585
MLN4924 73014187 human GSE30531 sample 2646	mln4924	db73014187		16720766	pc16720766
lapatinib DB01259 human GSE38376 sample 2585	lapatinib	db01259		208908	pc208908
cisplatin DB00515 human GSE47856 sample 3151	cisplatin	db00515			cisplatin
tibolone 444008 human GSE12446 sample 3204	tibolone	db444008		444008	pc444008
levofloxacin 149096 human GSE9166 sample 2628	levofloxacin	db149096		149096	pc149096
apratoxin A 6326668 human GSE2742 sample 3069	apratoxin a	db6326668		6326668	pc6326668
doxorubicin DB00997 human GSE58074 sample 3180	doxorubicin	db00997		31703	pc31703
Vincristine 5978 human GSE7556 sample 3092	vincristine	db5978		5978	pc5978
MT19c compound SID 134222379 human GSE23616 sample 3352	mt19c	db134222379			mt19c
Insulin 3989 human GSE22309 sample 3368	insulin	db3989			insulin
l-arginine 6322 mouse GSE34874 sample 3214	l-arginine	db6322		6322	pc6322
Tamoxifen DB00675 mouse GSE34232 sample 2579	tamoxifen	db00675		2733526	pc2733526
diethylstilbestrol DB00255 mouse GSE1839 sample 2718	diethylstilbestrol	db00255		448537	pc448537
Carboplatin DB00958 human GSE13525 sample 3089	carboplatin	db00958		38904	pc38904
nicotinamide riboside 439924 mouse GSE62194 sample 3471	nicotinamide riboside	db439924		439924	pc439924
Bisphenol A 6623 mouse GSE4650 sample 3574	bisphenol a	db6623		6623	pc6623
Chlorpyrifos 2730 human GSE5023 sample 3571	chlorpyrifos	db2730		2730	pc2730
estradiol DB00783 human GSE46924 sample 2487	estradiol	db00783		5757	pc5757
curcumin 969516 human GSE10896 sample 3407	curcumin	db969516		969516	pc969516
methamphetamine 10836 mouse GSE30305 sample 2621	methamphetamine	db10836		66124	pc66124
ARSENIC 5359596 human GSE6907 sample 3529	arsenic	db5359596		5359596	pc5359596
decitabine 451668 mouse GSE4768 sample 3103	decitabine	db451668		451668	pc451668
resveratrol DB02709 human GSE41168 sample 3494	resveratrol	db02709		445154	pc445154
vitamin a DB00162 rat GSE284 sample 2839	vitamin a	db00162		445354	pc445354
sulforaphane 5350 human GSE28813 sample 3445	sulforaphane	db5350		5350	pc5350
Bisphenol A 6623 human GSE17624 sample 2662	bisphenol a	db6623		6623	pc6623
trichostatin A 444732 mouse GSE1437 sample 3085	trichostatin a	db444732		444732	pc444732
trovafloxacin 62959 human GSE9166 sample 2629	trovafloxacin	db62959		62959	pc62959
doxorubicin 31703 human GSE13477 sample 2641	doxorubicin	db31703		31703	pc31703
doxycycline DB00254 human GSE2624 sample 3074	doxycycline	db00254		54671203	pc54671203
nicotinamide riboside 439924 mouse GSE62194 sample 3468	nicotinamide riboside	db439924		439924	pc439924
Cobalt dichloride hexahydrate 24643 rat GSE51207 sample 3116	cobalt dichloride hexahydrate	db24643		24643	pc24643
Rapamycin DB00877 human GSE5824 sample 2459	rapamycin	db00877		5284616	pc5284616
MLN4924 73014187 human GSE30531 sample 2643	mln4924	db73014187		16720766	pc16720766
bexarotene 82146 rat GSE3952 sample 3560	bexarotene	db82146		82146	pc82146
Caerulein 16132921 mouse GSE3644 sample 3586	caerulein	db16132921		16129675	pc16129675
ANGIOTENSIN II 172198 mouse GSE17901 sample 3679	angiotensin ii	db172198		172198	pc172198
levetiracetam DB01202 rat GSE2880 sample 2777	levetiracetam	db01202		5284583	pc5284583
imatinib DB00619 human GSE1922 sample 2520	imatinib	db00619		5291	pc5291
ubiquinol 9962735 mouse GSE15129 sample 3451	ubiquinol	db9962735			ubiquinol
PBDE 85 177368 human GSE8588 sample 3051	pbde 85	db177368		177368	pc177368
lysophosphatidic acid 3988 human GSE26309 sample 3224	lysophosphatidic acid	db3988		5497152	pc5497152
motexafin gadolinium (4 h) DB05428 human GSE2189 sample 3125	motexafin gadolinium	db05428		12047567	pc12047567
Atorvastatin DB01076 human GSE11393 sample 3196	atorvastatin	db01076		60823	pc60823
EPZ004777 56962336 human GSE29828 sample 2649	epz004777	db56962336		56962336	pc56962336
glipizide DB01067 mouse GSE2431 sample 2749	glipizide	db01067		3478	pc3478
PRISTANE 15979 mouse GSE17297 sample 3229	pristane	db15979		15979	pc15979
Phosgene 6371 mouse GSE2565 sample 3612	phosgene	db6371		6371	pc6371
Promyelocytic leukemia DB00755 human GSE5007 sample 2461	promyelocytic leukemia	db00755		444795	pc444795
Vitamin D3 DB00136 human GSE5145 sample 3170	vitamin d3	db00136		5280453	pc5280453
ubiquinol 9962735 mouse GSE15129 sample 3463	ubiquinol	db9962735			ubiquinol
cytarabine 6253 human GSE5681 sample 2599	cytarabine	db6253		6253	pc6253
alitretinoin DB00523 rat GSE3952 sample 2673	alitretinoin	db00523		449171	pc449171
HYPOCHLOROUS ACID 24341 human GSE11630 sample 3199	hypochlorous acid	db24341		24341	pc24341
Caerulein 16132921 rat GSE5509 sample 3566	caerulein	db16132921		16129675	pc16129675
methylprednisolone 6741 rat GSE490 sample 3672	methylprednisolone	db6741		6741	pc6741
coenzyme Q10 5281915 mouse GSE15129 sample 3454	coenzyme q10	db5281915		5281915	pc5281915
cytarabine, 2xEC50, 1 d 6253 human GSE6930 sample 3422	cytarabine	db6253		6253	pc6253
nicotinamide riboside 439924 mouse GSE62194 sample 3470	nicotinamide riboside	db439924		439924	pc439924
bexarotene DB00307 human GSE12791 sample 2681	bexarotene	db00307		82146	pc82146
Interferon beta-1b DB00068 human GSE26104 sample 3184	interferon beta-1b	db00068			interferonbeta1b
Methotrexate DB00563 human GSE11440 sample 3072	methotrexate	db00563		126941	pc126941
resveratrol DB02709 human GSE36930 sample 3498	resveratrol	db02709		445154	pc445154
deltamethrin 40585 rat GSE7955 sample 3421	deltamethrin	db40585		40585	pc40585
cisplatin DB00515 human GSE47856 sample 3143	cisplatin	db00515			cisplatin
methamphetamine 10836 mouse GSE30305 sample 2609	methamphetamine	db10836		66124	pc66124
2,3-dimethoxy-1,4-naphtoquinone (DMNQ) 3136 human GSE39843 sample 3682	2,3-dimethoxy-1,4-naphtoquinone	db3136			23dimethoxy14naphtoquinone
vemurafenib DB08881 human GSE37441 sample 2561	vemurafenib	db08881		42611257	pc42611257
Mehp 20393 rat GSE4514 sample 3578	mehp	db20393		20393	pc20393
genistein 5280961 mouse GSE2889 sample 3604	genistein	db5280961		5280961	pc5280961
Retinoic acid 444795 mouse GSE1588 sample 3632	retinoic acid	db444795		444795	pc444795
vancomycin DB14969 mouse GSE7793 sample 3396	vancomycin	db14969		14969	pc14969
type II IFN (IFN-gamma1b) DB00033 human GSE5542 sample 2477	type ii ifn	db00033			typeiiifn
Curcumin CID 969516 human GSE10896 sample 3258	curcumin	db969516		969516	pc969516
Triiodothyronine-[13C6] hydrochloride (T3 thyronine) 53442265 human GSE29159 sample 3047	triiodothyronine-[13c6] hydrochloride	db53442265			triiodothyronine13c6hydrochloride
HYPOCHLOROUS ACID 24341 mouse GSE15457 sample 3386	hypochlorous acid	db24341		24341	pc24341
Leptin DB05098 mouse GSE3293 sample 3592	leptin	db05098		90470904	pc90470904
foretinib 42642645 human GSE16179 sample 2582	foretinib	db42642645		42642645	pc42642645
heroin 5462328 mouse GSE30305 sample 2666	heroin	db5462328		5462328	pc5462328
SODIUM ARSENITE 443495 mouse GSE11056 sample 3359	sodium arsenite	db443495		443495	pc443495
CONCANAVALIN A 596316 mouse GSE17184 sample 3366	concanavalin a	db596316			concanavalina
dexamethasone DB01234 mouse GSE5463 sample 2709	dexamethasone	db01234		5743	pc5743
PLX4032 DB05238 human GSE24862 sample 2569	plx4032	db05238		42611257	pc42611257
etanercept DB00005 human GSE41663 sample 2602	etanercept	db00005			etanercept
tamoxifen DB00675 human GSE28645 sample 2496	tamoxifen	db00675		2733526	pc2733526
etanercept DB00005 human GSE11903 sample 2606	etanercept	db00005			etanercept
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3321	trichloroethylene	db6575		6575	pc6575
cetuximab DB00002 human GSE61495 sample 3136	cetuximab	db00002			cetuximab
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3314	trichloroethylene	db6575		6575	pc6575
quercetin 5280343 rat GSE7479 sample 3409	quercetin	db5280343		5280343	pc5280343
MK-886 CID 3651377 human GSE3202 sample 3192	mk-886	db3651377		3651377	pc3651377
quercetin DB04216 mouse GSE38136 sample 3438	quercetin	db04216		5280343	pc5280343
All-trans retinoic acid DB00755 mouse GSE31280 sample 2460	all-trans retinoic acid	db00755		444795	pc444795
ethanol DB00898 mouse GSE52644 sample 3475	ethanol	db00898		702	pc702
Perfluorooctanoic Acid 9554 mouse GSE13044 sample 3517	perfluorooctanoic acid	db9554		9554	pc9554
vancomycin DB14969 mouse GSE7793 sample 3400	vancomycin	db14969		14969	pc14969
doxorubicin DB00997 human GSE12972 sample 2720	doxorubicin	db00997		31703	pc31703
methotrexate DB00563 human GSE41831 sample 2601	methotrexate	db00563		126941	pc126941
troglitazone 5591 mouse GSE1458 sample 2589	troglitazone	db5591		5591	pc5591
imatinib DB00619 human GSE1922 sample 2515	imatinib	db00619		5291	pc5291
atorvastatin DB01076 human GSE2450 sample 2484	atorvastatin	db01076		60823	pc60823
vancomycin DB14969 mouse GSE7793 sample 3399	vancomycin	db14969		14969	pc14969
ethanol DB00898 rat GSE3311 sample 2737	ethanol	db00898		702	pc702
Fasudil 3547 mouse GSE25829 sample 3274	fasudil	db3547		3547	pc3547
PRISTANE 15979 mouse GSE17297 sample 3227	pristane	db15979		15979	pc15979
morphine DB00295 mouse GSE15774 sample 2787	morphine	db00295		5288826	pc5288826
Phosgene 6371 mouse GSE2565 sample 3611	phosgene	db6371		6371	pc6371
nicotine 942 human GSE6264 sample 3064	nicotine	db942		89594	pc89594
Mepenzolate DB04843 mouse GSE50836 sample 2530	mepenzolate	db04843		4057	pc4057
Triiodothyronine-[13C6] hydrochloride (T3 thyronine) 53442265 human GSE29159 sample 3045	triiodothyronine-[13c6] hydrochloride	db53442265			triiodothyronine13c6hydrochloride
sapphyrin PCI-2050 (2.5 &Icirc;&frac14;M) 9855235 human GSE6400 sample 3102	sapphyrin pci-2050	db9855235		9855235	pc9855235
olanzapine 4585 rat GSE2547 sample 2511	olanzapine	db4585		4585	pc4585
methamphetamine 10836 mouse GSE30305 sample 2616	methamphetamine	db10836		66124	pc66124
rosiglitazone 77999 rat GSE5509 sample 3567	rosiglitazone	db77999		77999	pc77999
ZINC ACETATE 11192 human GSE2964 sample 3590	zinc acetate	db11192		11192	pc11192
tretinoin DB00755 human GSE23702 sample 2828	tretinoin	db00755		444795	pc444795
diethylstilbestrol DB00255 rat GSE4028 sample 2715	diethylstilbestrol	db00255		448537	pc448537
heroin 5462328 mouse GSE30305 sample 2611	heroin	db5462328		5462328	pc5462328
cisplatin DB00515 human GSE42172 sample 3095	cisplatin	db00515			cisplatin
d-serine 71077 rat GSE10748 sample 3389	d-serine	db71077		71077	pc71077
carboplatin DB00958 human GSE49577 sample 3175	carboplatin	db00958		38904	pc38904
vancomycin DB14969 mouse GSE7793 sample 3395	vancomycin	db14969		14969	pc14969
4-Hydroxynonenal 5283344 human GSE2397 sample 3083	4-hydroxynonenal	db5283344		5283344	pc5283344
apratoxin A 6326668 human GSE2742 sample 3068	apratoxin a	db6326668		6326668	pc6326668
dasatinib DB01254 human GSE59357 sample 3306	dasatinib	db01254		3062316	pc3062316
imatinib DB00619 mouse GSE51698 sample 2522	imatinib	db00619		5291	pc5291
Monuron 8800 rat GSE51163 sample 2463	monuron	db8800		8800	pc8800
quercetin 5280343 human GSE7259 sample 3415	quercetin	db5280343		5280343	pc5280343
VANADIUM PENTOXIDE 14814 human GSE5339 sample 3558	vanadium pentoxide	db14814		14814	pc14814
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3311	trichloroethylene	db6575		6575	pc6575
Cadmium Chloride 24947 rat GSE9480 sample 3413	cadmium chloride	db24947		24947	pc24947
Argyrin A 24978550 human GSE8565 sample 3052	argyrin a	db24978550			argyrina
methylprednisolone 6741 rat GSE490 sample 3669	methylprednisolone	db6741		6741	pc6741
rosiglitazone DB00412 rat GSE21329 sample 2844	rosiglitazone	db00412		77999	pc77999
estradiol 5757 human GSE24592 sample 3347	estradiol	db5757		5757	pc5757
progesterone 5994 mouse GSE6440 sample 3686	progesterone	db5994		5994	pc5994
rosiglitazone DB00412 mouse GSE35011 sample 2813	rosiglitazone	db00412		77999	pc77999
estradiol 5757 mouse GSE2195 sample 3620	estradiol	db5757		5757	pc5757
Calcitonin 16132288 mouse GSE60761 sample 3446	calcitonin	db16132288		44388547	pc44388547
pioglitazone DB01132 rat GSE20219 sample 2795	pioglitazone	db01132		4829	pc4829
deferasirox DB01609 human GSE11670 sample 2572	deferasirox	db01609		5493381	pc5493381
haloperidol 3559 mouse GSE6467 sample 2466	haloperidol	db3559		3559	pc3559
Retinoic acid 444795 human GSE23702 sample 3233	retinoic acid	db444795		444795	pc444795
streptozocin DB00428 mouse GSE39752 sample 3065	streptozocin	db00428		29327	pc29327
sangivamycin (NSC 65346) 14978 human GSE13477 sample 2504	sangivamycin	db14978		14978	pc14978
1-Naphthyl isothiocyanate 11080 rat GSE5509 sample 3568	1-naphthyl isothiocyanate	db11080		11080	pc11080
1,2,4-BENZENETRIOL 10787 human GSE7664 sample 3535	1,2,4-benzenetriol	db10787		10787	pc10787
NICKEL 935 human GSE6907 sample 3531	nickel	db935		935	pc935
streptozocin DB00428 mouse GSE38067 sample 3439	streptozocin	db00428		29327	pc29327
estradiol 5757 mouse GSE52711 sample 3120	estradiol	db5757		5757	pc5757
FGFR-specific PD173074 inhibitor 1401 human GSE52452 sample 3244	fgfr-specific pd173074 inhibitor	db1401			fgfrspecificpd173074inhibitor
dexamethasone DB01234 mouse GSE484 sample 2711	dexamethasone	db01234		5743	pc5743
2,2',4,4',5,5'-Hexachlorobiphenyl   (PCB-153) 37034 human GSE6878 sample 3348	2,2',4,4',5,5'-hexachlorobiphenyl  	db37034		37034	pc37034
palmitic acid 985 mouse GSE6766 sample 3553	palmitic acid	db985		985	pc985
PRISTANE 15979 mouse GSE17297 sample 3226	pristane	db15979		15979	pc15979
Phosgene 6371 mouse GSE2565 sample 3616	phosgene	db6371		6371	pc6371
mesalazine DB00244 human GSE38713 sample 3289	mesalazine	db00244		4075	pc4075
VX 39793 human GSE33606 sample 3345	vx	db39793		39793	pc39793
Lipopolysaccharide 11970143 mouse GSE2002 sample 3603	lipopolysaccharide	db11970143		11970143	pc11970143
titanium dioxide NA mouse GSE7475 sample 2823	titanium dioxide			439196	pc439196
dactinomycin DB00970 mouse GSE5324 sample 2700	dactinomycin	db00970		457193	pc457193
Interferon-&Icirc;&sup2;-1b (Betaferon) DB00068 human GSE26104 sample 3343	interferon-&icirc;&sup2;-1b	db00068			interferonicircsup21b
estradiol 5757 mouse GSE52711 sample 3118	estradiol	db5757		5757	pc5757
vemurafenib DB08881 human GSE37441 sample 2560	vemurafenib	db08881		42611257	pc42611257
CONCANAVALIN A 596316 mouse GSE17184 sample 3365	concanavalin a	db596316			concanavalina
imiquimod DB00724 mouse GSE27628 sample 3073	imiquimod	db00724		57469	pc57469
SODIUM ARSENITE 443495 mouse GSE11056 sample 3357	sodium arsenite	db443495		443495	pc443495
RPI-1 1749978 human GSE49414 sample 3173	rpi-1	db1749978		907426	pc907426
Aplidin 56928089 human GSE5681 sample 2598	aplidin	db56928089		9812534	pc9812534
carboplatin DB00958 human GSE49577 sample 3174	carboplatin	db00958		38904	pc38904
bleomycin DB00290 mouse GSE25640 sample 3121	bleomycin	db00290		5460769	pc5460769
methotrexate DB00563 human GSE41831 sample 2600	methotrexate	db00563		126941	pc126941
ubiquinol 9962735 mouse GSE15129 sample 3453	ubiquinol	db9962735			ubiquinol
amoxicillin DB01060 rat GSE2354 sample 2678	amoxicillin	db01060		33613	pc33613
resveratrol DB02709 mouse GSE7111 sample 3496	resveratrol	db02709		445154	pc445154
Lipopolysaccharide 11970143 mouse GSE367 sample 3656	lipopolysaccharide	db11970143		11970143	pc11970143
Atarax DB00557 human GSE31773 sample 2485	atarax	db00557		3658	pc3658
LMP-420 497668 human GSE20211 sample 3222	lmp-420	db497668		497668	pc497668
ubiquinol 9962735 mouse GSE15129 sample 3465	ubiquinol	db9962735			ubiquinol
carboplatin DB00958 human GSE7035 sample 3060	carboplatin	db00958		38904	pc38904
citalopram DB00215 human GSE7036 sample 3292	citalopram	db00215		2771	pc2771
irinotecan DB00762 rat GSE11722 sample 2767	irinotecan	db00762		60838	pc60838
Fasudil 3547 mouse GSE25829 sample 3275	fasudil	db3547		3547	pc3547
fluoxetine 62857 mouse GSE6476 sample 2618	fluoxetine	db62857		3386	pc3386
DETA NONOate 24890998 mouse GSE22087 sample 3210	deta nonoate	db24890998		1606	pc1606
PLX4720 CID 24180719 human GSE50791 sample 2506	plx4720	db24180719		24180719	pc24180719
formoterol DB00983 human GSE30242 sample 2631	formoterol	db00983		3410	pc3410
fenretinide DB05076 human GSE17480 sample 2529	fenretinide	db05076		5288209	pc5288209
estradiol 5757 mouse GSE2195 sample 3621	estradiol	db5757		5757	pc5757
pioglitazone DB01132 human GSE8157 sample 2796	pioglitazone	db01132		4829	pc4829
1,25 dihydroxyvitamin D 5280453 human GSE15947 sample 2493	1,25 dihydroxyvitamin d	db5280453			125dihydroxyvitamind
2,3-dimethoxy-1,4-naphtoquinone (DMNQ) 3136 human GSE39843 sample 3681	2,3-dimethoxy-1,4-naphtoquinone	db3136			23dimethoxy14naphtoquinone
doxorubicin DB00997 human GSE58074 sample 3179	doxorubicin	db00997		31703	pc31703
diethylstilbestrol DB00255 rat GSE4028 sample 2717	diethylstilbestrol	db00255		448537	pc448537
HYPOCHLOROUS ACID 24341 human GSE11630 sample 3202	hypochlorous acid	db24341		24341	pc24341
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3320	trichloroethylene	db6575		6575	pc6575
NICKEL CHLORIDE 24385 rat GSE31503 sample 3279	nickel chloride	db24385		24385	pc24385
amoxicillin DB01060 rat GSE2354 sample 2677	amoxicillin	db01060		33613	pc33613
amoxicillin DB01060 rat GSE2354 sample 2676	amoxicillin	db01060		33613	pc33613
cisplatin DB00515 mouse GSE6206 sample 2692	cisplatin	db00515			cisplatin
cyclophosphamide 2907 mouse GSE2254 sample 3627	cyclophosphamide	db2907		2907	pc2907
puromycin, 2xEC50, 3 d 439530 human GSE6930 sample 3372	puromycin	db439530		439530	pc439530
Lipopolysaccharide 11970143 mouse GSE367 sample 3657	lipopolysaccharide	db11970143		11970143	pc11970143
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3319	trichloroethylene	db6575		6575	pc6575
formaldehyde 712 rat GSE7002 sample 3550	formaldehyde	db712		712	pc712
2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD) 15625 human GSE16160 sample 3426	2,3,7,8-tetrachlorodibenzo-p-dioxin	db15625		15625	pc15625
nitric oxide 145068 human GSE13887 sample 3181	nitric oxide	db145068		145068	pc145068
methotrexate DB00563 human GSE11440 sample 2543	methotrexate	db00563		126941	pc126941
2,2',4,4',5,5'-Hexachlorobiphenyl   (PCB-153) 37034 human GSE6878 sample 3350	2,2',4,4',5,5'-hexachlorobiphenyl  	db37034		37034	pc37034
decitabine DB01262 human GSE29077 sample 2546	decitabine	db01262		451668	pc451668
Mehp 20393 rat GSE4514 sample 3576	mehp	db20393		20393	pc20393
PLX4720 CID 24180719 human GSE50791 sample 2505	plx4720	db24180719		24180719	pc24180719
vancomycin DB14969 mouse GSE7793 sample 3398	vancomycin	db14969		14969	pc14969
morphine 5288826 mouse GSE7762 sample 3488	morphine	db5288826		5288826	pc5288826
Gefitinib DB00317 human GSE53180 sample 3474	gefitinib	db00317		123631	pc123631
Phosgene 6371 mouse GSE2565 sample 3610	phosgene	db6371		6371	pc6371
quercetin DB04216 mouse GSE4262 sample 3428	quercetin	db04216		5280343	pc5280343
zinc sulfate NA rat GSE11091 sample 2840	zinc sulfate			24424	pc24424
methylprednisolone 6741 rat GSE490 sample 3666	methylprednisolone	db6741		6741	pc6741
Perfluorooctanoic Acid 9554 mouse GSE13044 sample 3521	perfluorooctanoic acid	db9554		9554	pc9554
CONCANAVALIN A 596316 mouse GSE17184 sample 3367	concanavalin a	db596316			concanavalina
curcumin 969516 mouse GSE23639 sample 3442	curcumin	db969516		969516	pc969516
PLX4032 DB05238 human GSE50649 sample 2557	plx4032	db05238		42611257	pc42611257
coenzyme Q10 5281915 mouse GSE15129 sample 3450	coenzyme q10	db5281915		5281915	pc5281915
heroin 5462328 mouse GSE30305 sample 2668	heroin	db5462328		5462328	pc5462328
ubiquinol 9962735 mouse GSE15129 sample 3459	ubiquinol	db9962735			ubiquinol
decitabine DB01262 human GSE29077 sample 2539	decitabine	db01262		451668	pc451668
methylprednisolone 6741 rat GSE490 sample 3664	methylprednisolone	db6741		6741	pc6741
clozapine 2818 mouse GSE6511 sample 2469	clozapine	db2818		2818	pc2818
3,3',4,4'-Tetrachlorobiphenyl 36187 human GSE6878 sample 3273	3,3',4,4'-tetrachlorobiphenyl	db36187		36187	pc36187
puromycin, 2xEC50, 1d 439530 human GSE6930 sample 3371	puromycin	db439530		439530	pc439530
PLX4032 DB05238 human GSE50649 sample 2558	plx4032	db05238		42611257	pc42611257
ethanol 702 human GSE44456 sample 3038	ethanol	db702		702	pc702
HYPOCHLOROUS ACID 24341 mouse GSE15457 sample 3385	hypochlorous acid	db24341		24341	pc24341
ANGIOTENSIN II 172198 mouse GSE17901 sample 3678	angiotensin ii	db172198		172198	pc172198
N-NITROSODIMETHYLAMINE 6124 rat GSE5509 sample 3569	n-nitrosodimethylamine	db6124		6124	pc6124
Lapatinib DB01259 human GSE16179 sample 2581	lapatinib	db01259		208908	pc208908
