DrugName	DrugID_ChEMBL	DrugID_DrugBank	DrugID_SMILES	DrugID_PC
uridine monophosphate	chembl214393	db03685	o[c@h]1[c@@h](o)[c@@h](o[c@@h]1cop(o)(o)=o)n1c=cc(=o)nc1=o	6030
urokinase	chembl1201420	db00013	not found	NA
valproic acid	chembl109	db00313	cccc(ccc)c(o)=o	3121
vandetanib	chembl24828	db05294	coc1=c(occ2ccn(c)cc2)c=c2n=cn=c(nc3=c(f)c=c(br)c=c3)c2=c1	3081361
varenicline	chembl1396	db01273	[h][c@]12c[c@]([h])(cnc1)c1=cc3=nc=cn=c3c=c21	170361
verapamil	chembl1280	db00661	coc1=c(oc)c=c(ccn(c)cccc(c#n)(c(c)c)c2=cc(oc)=c(oc)c=c2)c=c1	62969
vinblastine	chembl159	db00570	[h][c@@]12n(c)c3=cc(oc)=c(c=c3[c@@]11ccn3cc=c[c@](cc)([c@@]13[h])[c@@]([h])(oc(c)=o)[c@]2(o)c(=o)oc)[c@]1(c[c@@]2([h])cn(c[c@](o)(cc)c2)ccc2=c1nc1=cc=cc=c21)c(=o)oc	13342
vitamin a	chembl986	db00162	c\c(=c/co)\c=c\c=c(/c)\c=c\c1=c(c)cccc1(c)c	445354
vitamin c	chembl196	db00126	[h][c@@]1(oc(=o)c(o)=c1o)[c@@h](o)co	54670067
vitamin e	chembl47	db00163	cc(c)ccc[c@@h](c)ccc[c@@h](c)ccc[c@]1(c)ccc2=c(o1)c(c)=c(c)c(o)=c2c	14985
vorinostat	chembl98	db02546	onc(=o)ccccccc(=o)nc1=cc=cc=c1	5311
vortioxetine	chembl2104993	db09068	cc1=cc(c)=c(sc2=cc=cc=c2n2cc[nh2+]cc2)c=c1	9966051
xylometazoline	chembl312448	db06694	cc1=cc(=cc(c)=c1cc1=nccn1)c(c)(c)c	5709
yohimbine	chembl15245	db01392	[h][c@@]12cc[c@h](o)[c@h](c(=o)oc)[c@@]1([h])c[c@]1([h])n(ccc3=c1nc1=cc=cc=c31)c2	8969
ziprasidone	chembl708	db00246	clc1=c(ccn2ccn(cc2)c2=nsc3=cc=cc=c23)c=c2cc(=o)nc2=c1	60854
zonisamide	chembl750	db00909	ns(=o)(=o)cc1=noc2=cc=cc=c12	5734
zopiclone	chembl135400	db01198	cn1ccn(cc1)c(=o)oc1n(c(=o)c2=nc=cn=c12)c1=nc=c(cl)c=c1	5735
zuclopenthixol	chembl53904	db01624	occn1ccn(cc\c=c2\c3=cc=cc=c3sc3=c2c=c(cl)c=c3)cc1	5311507
acetyldigitoxin	chembl3545057	db00511	[h][c@@]1(c[c@h](o)[c@h](o[c@@]2([h])c[c@h](o)[c@h](o[c@@]3([h])c[c@h](oc(c)=o)[c@h](o)[c@@h](c)o3)[c@@h](c)o2)[c@@h](c)o1)o[c@h]1cc[c@@]2(c)[c@]([h])(cc[c@]3([h])[c@]2([h])cc[c@]2(c)[c@h](cc[c@]32o)c2=cc(=o)oc2)c1	5284512
aclatonium	chembl2106580	NA	cc(oc(c)=o)c(=o)occ[n+](c)(c)c	6918580
alprostadil	chembl495	NA	ccccc[c@h](o)\c=c\[c@h]1[c@h](o)cc(=o)[c@@h]1ccccccc(o)=o	5280723
amantadine	chembl660	db00915	nc12cc3cc(cc(c3)c1)c2	2130
amifampridine	chembl354077	NA	nc1=cc=nc=c1n	5918
axitinib	chembl1289926	db06626	cnc(=o)c1=c(sc2=cc=c3c(nn=c3\c=c\c3=cc=cc=n3)=c2)c=cc=c1	6450551
benzocaine	chembl278172	db01086	ccoc(=o)c1=cc=c(n)c=c1	2337
boceprevir	chembl218394	db08873	cc(c)(c)nc(=o)n[c@h](c(=o)n1c[c@h]2[c@@h]([c@h]1c(=o)nc(cc1ccc1)c(=o)c(n)=o)c2(c)c)c(c)(c)c	10324367
bortezomib	chembl325041	db00188	cc(c)c[c@h](nc(=o)[c@h](cc1=cc=cc=c1)nc(=o)c1=cn=cc=n1)b(o)o	387447
brentuximab vedotin	chembl1742994	NA	NA	NA
bufylline	chembl2104089	NA	NA	21850
cabazitaxel	chembl1201748	db06772	[h][c@](o)(c(=o)o[c@@]1([h])c[c@@]2(o)[c@@]([h])(oc(=o)c3=cc=cc=c3)[c@]3([h])[c@@]4(co[c@]4([h])c[c@]([h])(oc)[c@@]3(c)c(=o)[c@]([h])(oc)c(=c1c)c2(c)c)oc(c)=o)[c@@]([h])(nc(=o)oc(c)(c)c)c1=cc=cc=c1	9854073
cabozantinib	chembl2103868	db08875	coc1=cc2=nc=cc(oc3=cc=c(nc(=o)c4(cc4)c(=o)nc4=cc=c(f)c=c4)c=c3)=c2c=c1oc	25102846
chlorhexidine	chembl790	db00878	clc1=cc=c(nc(=n)nc(=n)nccccccnc(=n)nc(=n)nc2=cc=c(cl)c=c2)c=c1	9552079
choline theophyllinate	chembl1200434	db01303	c[n+](c)(c)cco.cn1c2=c(n=c[n-]2)c(=o)n(c)c1=o	656652
ciclosporin	chembl160	db00091	[h][c@]1(nc(=o)[c@h](cc(c)c)n(c)c(=o)cn(c)c(=o)[c@h](cc)nc(=o)[c@]([h])([c@h](o)[c@h](c)c\c=c\c)n(c)c(=o)[c@]([h])(c(c)c)n(c)c(=o)[c@h](cc(c)c)n(c)c(=o)[c@h](cc(c)c)n(c)c(=o)[c@@h](c)nc(=o)[c@h](c)nc(=o)[c@h](cc(c)c)n(c)c1=o)c(c)c	5284373
cisapride	chembl1729	db00604	[h]c1(ccn(cccoc2=cc=c(f)c=c2)cc1([h])oc)nc(=o)c1=c(oc)c=c(n)c(cl)=c1	2769
crizotinib	chembl601719	db08865	[h][c@](c)(oc1=c(n)n=cc(=c1)c1=cn(n=c1)c1ccncc1)c1=c(cl)c=cc(f)=c1cl	11626560
decamethonium	chembl1134	db01245	c[n+](c)(c)cccccccccc[n+](c)(c)c	2968
deslanoside	chembl1614	db01078	[h][c@@]1(c[c@h](o)[c@h](o[c@@]2([h])c[c@h](o)[c@h](o[c@@]3([h])c[c@h](o)[c@h](o[c@]4([h])o[c@h](co)[c@@h](o)[c@h](o)[c@h]4o)[c@@h](c)o3)[c@@h](c)o2)[c@@h](c)o1)o[c@h]1cc[c@@]2(c)[c@]([h])(cc[c@]3([h])[c@]2([h])c[c@@h](o)[c@]2(c)[c@h](cc[c@]32o)c2=cc(=o)oc2)c1	28620
digoxin	chembl1751	db00390	[h][c@@]1(c[c@h](o)[c@h](o[c@@]2([h])c[c@h](o)[c@h](o[c@@]3([h])c[c@h](o)[c@h](o)[c@@h](c)o3)[c@@h](c)o2)[c@@h](c)o1)o[c@h]1cc[c@@]2(c)[c@]([h])(cc[c@]3([h])[c@]2([h])c[c@@h](o)[c@]2(c)[c@h](cc[c@]32o)c2=cc(=o)oc2)c1	2724385
dinoprostone	chembl548	db00917	ccccc[c@h](o)\c=c\[c@h]1[c@h](o)cc(=o)[c@@h]1c\c=c/cccc(o)=o	5280360
dipyridamole	chembl932	db00975	occn(cco)c1=nc(n2ccccc2)=c2n=c(n=c(n3ccccc3)c2=n1)n(cco)cco	3108
eribulin	chembl1683544	NA	[h][c@@]12cc(=c)[c@]([h])(cc[c@@]3([h])c[c@@h](c)c(=c)[c@@]([h])(c[c@]4([h])o[c@h](c[c@h](o)cn)[c@h](oc)[c@@]4([h])cc(=o)c[c@@]4([h])cc[c@]5([h])o[c@@]6([h])[c@@]7([h])o[c@@]8(c[c@@]7([h])o[c@@]6([h])[c@@]([h])(o8)[c@@]5([h])o4)cc1)o3)o2	17755248
erlotinib	chembl553	db00530	coccoc1=cc2=c(c=c1occoc)c(nc1=cc=cc(=c1)c#c)=nc=n2	176870
eslicarbazepine acetate	chembl87992	db09119	cc(=o)o[c@h]1cc2=c(c=cc=c2)n(c(n)=o)c2=cc=cc=c12	179344
ethotoin	chembl1095	db00754	ccn1c(=o)nc(c1=o)c1=cc=cc=c1	3292
ethoxzolamide	chembl18	db00311	ccoc1=cc2=c(c=c1)n=c(s2)s(n)(=o)=o	3295
flavoxate	chembl1493	db01148	cc1=c(oc2=c(c=cc=c2c1=o)c(=o)occn1ccccc1)c1=cc=cc=c1	3354
flufenamic acid	chembl23588	db02266	oc(=o)c1=c(nc2=cc(=cc=c2)c(f)(f)f)c=cc=c1	3371
fospropofol	chembl1201766	db06716	cc(c)c1=cc=cc(c(c)c)=c1ocop(o)(o)=o	3038498
gemcitabine	chembl888	db00441	nc1=nc(=o)n(c=c1)[c@@h]1o[c@h](co)[c@@h](o)c1(f)f	60750
glycopyrronium bromide	chembl1201027	NA	c[n+]1(c)ccc(c1)oc(=o)c(o)(c1cccc1)c1=cc=cc=c1	11693
guanidine	chembl821	db00536	nc(n)=n	3520
ixabepilone	chembl1201752	db04845	[h][c@]12c[c@h](nc(=o)c[c@h](o)c(c)(c)c(=o)[c@h](c)[c@@h](o)[c@@h](c)ccc[c@@]1(c)o2)c(\c)=c\c1=csc(c)=n1	6445540
lamotrigine	chembl741	db00555	nc1=nn=c(c(n)=n1)c1=c(cl)c(cl)=cc=c1	3878
lidocaine	chembl79	db00281	ccn(cc)cc(=o)nc1=c(c)c=cc=c1c	3676
mefenamic acid	chembl686	db00784	cc1=cc=cc(nc2=c(c=cc=c2)c(o)=o)=c1c	4044
mephenytoin	chembl861	db00532	ccc1(nc(=o)n(c)c1=o)c1=cc=cc=c1	4060
mepivacaine	chembl1087	db00961	[h]c1(ccccn1c)c(=o)nc1=c(c)c=cc=c1c	4062
metformin	chembl1431	db00331	cn(c)c(=n)nc(n)=n	4091
methanthelinium	chembl1201264	db00940	cc[n+](c)(cc)ccoc(=o)c1c2=cc=cc=c2oc2=c1c=cc=c2	4097
metoclopramide	chembl86	db01233	ccn(cc)ccnc(=o)c1=c(oc)c=c(n)c(cl)=c1	4168
mexiletine	chembl558	db00379	cc(n)coc1=c(c)c=cc=c1c	4178
nilotinib	chembl255863	db04868	cc1=cn(c=n1)c1=cc(=cc(nc(=o)c2=cc(nc3=nc=cc(=n3)c3=cn=cc=c3)=c(c)c=c2)=c1)c(f)(f)f	644241
octreotide	chembl1680	db00104	[h]n[c@@h](cc1=cc=cc=c1)c(=o)n[c@h]1cssc[c@h](nc(=o)[c@@h](nc(=o)[c@h](ccccn)nc(=o)[c@h](cc2=cnc3=c2c=cc=c3)nc(=o)[c@h](cc2=cc=cc=c2)nc1=o)[c@@h](c)o)c(=o)n[c@]([h])(co)[c@@]([h])(c)o	448601
orlistat	chembl175247	db01083	ccccccccccc[c@@h](c[c@@h]1oc(=o)[c@h]1cccccc)oc(=o)[c@h](cc(c)c)nc=o	3034010
pemetrexed	chembl225072	db00642	nc1=nc(=o)c2=c(nc=c2ccc2=cc=c(c=c2)c(=o)n[c@@h](ccc(o)=o)c(o)=o)n1	446556
phenazopyridine	chembl1242	db01438	nc1=nc(n)=c(c=c1)\n=n\c1=cc=cc=c1	4756
phentolamine	chembl597	db00692	cc1=cc=c(c=c1)n(cc1=nccn1)c1=cc(o)=cc=c1	5775
phenytoin	chembl16	db00252	o=c1nc(=o)c(n1)(c1=cc=cc=c1)c1=cc=cc=c1	1775
podophyllotoxin	chembl61	db01179	[h][c@]12coc(=o)[c@]1([h])[c@h](c1=cc(oc)=c(oc)c(oc)=c1)c1=cc3=c(oco3)c=c1[c@@h]2o	10607
procainamide	chembl640	db01035	ccn(cc)ccnc(=o)c1=cc=c(n)c=c1	4913
quinidine	chembl1294	db00908	[h][c@@]1(c[c@@h]2cc[n@]1c[c@@h]2c=c)[c@@h](o)c1=cc=nc2=cc=c(oc)c=c12	441074
rapacuronium	chembl1201352	db04834	[h][c@@]12c[c@@h]([c@h](oc(=o)cc)[c@@]1(c)cc[c@@]1([h])[c@@]2([h])cc[c@@]2([h])c[c@h](oc(c)=o)[c@h](c[c@]12c)n1ccccc1)[n+]1(cc=c)ccccc1	5311399
romidepsin	chembl343448	db06176	[h][c@]12cc(=o)n[c@]([h])(c(c)c)c(=o)n[c@]([h])(csscc\c=c\1)c(=o)n\c(=c/c)c(=o)n[c@@]([h])(c(c)c)c(=o)o2	5352062
ropivacaine	chembl1077896	db00296	cccn1cccc[c@h]1c(=o)nc1=c(c)c=cc=c1c	175805
rucaparib	chembl1173055	db12332	cncc1=cc=c(c=c1)c1=c2ccnc(=o)c3=cc(f)=cc(n1)=c23	9931954
rufinamide	chembl1201754	db06201	nc(=o)c1=cn(cc2=c(f)c=cc=c2f)n=n1	129228
sirolimus	chembl413	db00877	[h][c@@](c)(c[c@]1([h])cc[c@@]([h])(o)[c@@]([h])(c1)oc)[c@]1([h])cc(=o)[c@]([h])(c)\c=c(c)\[c@@]([h])(o)[c@@]([h])(oc)c(=o)[c@]([h])(c)c[c@]([h])(c)\c=c\c=c\c=c(c)\[c@]([h])(c[c@]2([h])cc[c@@]([h])(c)[c@@](o)(o2)c(=o)c(=o)n2cccc[c@@]2([h])c(=o)o1)oc	5284616
somatostatin	chembl1823872	db09099	[h]n[c@@h](c)c(=o)ncc(=o)n[c@h]1cssc[c@h](nc(=o)[c@h](co)nc(=o)[c@@h](nc(=o)[c@h](cc2=cc=cc=c2)nc(=o)[c@@h](nc(=o)[c@h](ccccn)nc(=o)[c@h](cc2=cnc3=c2c=cc=c3)nc(=o)[c@h](cc2=cc=cc=c2)nc(=o)[c@h](cc2=cc=cc=c2)nc(=o)[c@h](cc(n)=o)nc(=o)[c@h](ccccn)nc1=o)[c@@h](c)o)[c@@h](c)o)c(o)=o	16129706
suxamethonium	chembl703	db00202	c[n+](c)(c)ccoc(=o)ccc(=o)occ[n+](c)(c)c	5314
tacrolimus	chembl269732	db00864	[h][c@]12o[c@](o)([c@h](c)c[c@@h]1oc)c(=o)c(=o)n1cccc[c@@]1([h])c(=o)o[c@@h]([c@@h](c)[c@@h](o)cc(=o)[c@h](cc=c)\c=c(c)\c[c@h](c)c[c@@h]2oc)c(\c)=c\[c@@h]1cc[c@@h](o)[c@@h](c1)oc	445643
telaprevir	chembl231813	db05521	[h][c@@]12ccc[c@]1([h])[c@h](n(c2)c(=o)[c@@h](nc(=o)[c@@h](nc(=o)c1=cn=cc=n1)c1ccccc1)c(c)(c)c)c(=o)n[c@@h](ccc)c(=o)c(=o)nc1cc1	3010818
tetracaine	chembl698	db09085	ccccnc1=cc=c(c=c1)c(=o)occn(c)c	5411
tetryzoline	chembl1266	db06764	[h]c1(cccc2=cc=cc=c12)c1=nccn1	5419
thiamylal	chembl440	db01154	cccc(c)c1(cc=c)c(=o)nc(=s)nc1=o	3032285
tocainide	chembl1762	db01056	cc(n)c(=o)nc1=c(c)c=cc=c1c	38945
tofacitinib	chembl221959	db08895	c[c@@h]1ccn(c[c@@h]1n(c)c1=c2c=cnc2=nc=n1)c(=o)cc#n	9926791
trastuzumab emtansine	chembl1743082	NA	NA	NA
triclofos	chembl1200789	NA	op(o)(=o)occ(cl)(cl)cl	23677832
tubocurarine	chembl1687	db01199	[h][c@]12cc3=cc=c(oc4=c5c(cc[n+](c)(c)[c@]5([h])cc5=cc=c(o)c(oc6=cc1=c(ccn2c)c=c6oc)=c5)=cc(oc)=c4o)c=c3	9917490
vincristine	chembl90555	db00541	[h][c@@]12n3cc[c@@]11c4=cc(=c(oc)c=c4n(c=o)[c@@]1([h])[c@](o)([c@h](oc(c)=o)[c@]2(cc)c=cc3)c(=o)oc)[c@]1(c[c@@]2([h])c[n@](c[c@](o)(cc)c2)ccc2=c1nc1=cc=cc=c21)c(=o)oc	5978
vinflunine	chembl2110725	NA	[h][c@@]12n3cc[c@@]11c4=c(c=c(oc)c(=c4)[c@]4(c[c@]5([h])c[c@h](c[n@@](c5)cc5=c4nc4=c5c=cc=c4)c(c)(f)f)c(=o)oc)n(c)[c@@]1([h])[c@](o)([c@h](oc(c)=o)[c@]2(cc)c=cc3)c(=o)oc	10629256
vinorelbine	chembl553025	db00361	[h][c@@]12n(c)c3=c(c=c(c(oc)=c3)[c@]3(c[c@@]4([h])c[n@](cc(cc)=c4)cc4=c3nc3=c4c=cc=c3)c(=o)oc)[c@@]11ccn3cc=c[c@@](cc)([c@@h](oc(c)=o)[c@]2(o)c(=o)oc)[c@@]13[h]	5311497
zaleplon	chembl1521	db00962	ccn(c(c)=o)c1=cc(=cc=c1)c1=cc=nc2=c(c=nn12)c#n	5719
zolpidem	chembl911	db00425	cn(c)c(=o)cc1=c(n=c2c=cc(c)=cn12)c1=cc=c(c)c=c1	5732
(7s)-hydroxyl-staurosporine	chembl574737	db01933	c[c@@]12[c@@h]([c@@h](c[c@@h](o1)n3c4=cc=cc=c4c5=c6c(=c7c8=cc=cc=c8n2c7=c53)[c@@h](nc6=o)o)nc)oc	3078519
4-damp	chembl76897	NA	c[n+]1(ccc(cc1)oc(=o)c(c2=cc=cc=c2)c3=cc=cc=c3)c.[i-]	1734
4sc-203	chembl3545358	db12669	NA	44467821
5-methoxytryptamine	chembl8165	NA	coc1=cc2=c(c=c1)nc=c2ccn	1833
8-oh-dpat	chembl56	NA	cccn(ccc)c1ccc2=c(c1)c(=cc=c2)o	1220
a-443654	chembl379300	db08073	cc1=c2c=c(c=cc2=nn1)c3=cc(=cn=c3)oc[c@h](cc4=cnc5=cc=cc=c54)n	10172943
abemaciclib	chembl3301610	db12001	ccn1ccn(cc1)cc2=cn=c(c=c2)nc3=nc=c(c(=n3)c4=cc5=c(c(=c4)f)n=c(n5c(c)c)c)f	46220502
abexinostat	chembl2103863	db12565	cn(c)cc1=c(oc2=cc=cc=c21)c(=o)nccoc3=cc=c(c=c3)c(=o)no	11749858
acalabrutinib	chembl3707348	db11703	cc#cc(=o)n1ccc[c@h]1c2=nc(=c3n2c=cn=c3n)c4=cc=c(c=c4)c(=o)nc5=cc=cc=n5	71226662
acamprosate calcium	chembl2068724	db00659	cc(=o)ncccs(=o)(=o)[o-].cc(=o)ncccs(=o)(=o)[o-].[ca+2]	155434
acarbose	chembl1566	db00284	c[c@@h]1[c@h]([c@@h]([c@h]([c@h](o1)o[c@@h]2[c@h](o[c@@h]([c@@h]([c@h]2o)o)o[c@@h]3[c@h](o[c@h]([c@@h]([c@h]3o)o)o)co)co)o)o)n[c@h]4c=c([c@h]([c@@h]([c@h]4o)o)o)co	444254
acetaminophen	chembl112	db00316	cc(=o)nc1=cc=c(c=c1)o	1983
acetic acid	chembl539	db03166	cc(=o)o	176
acetohexamide	chembl1589	db00414	cc(=o)c1=cc=c(c=c1)s(=o)(=o)nc(=o)nc2ccccc2	1989
acetylcholine	chembl667	db03128	cc(=o)occ[n+](c)(c)c	187
adenosine	chembl477	db00640	c1=nc2=c(c(=n1)n)n=cn2[c@h]3[c@@h]([c@@h]([c@h](o3)co)o)o	60961
adenosine diphosphate	chembl14830	NA	c1=nc2=c(c(=n1)n)n=cn2[c@h]3[c@@h]([c@@h]([c@h](o3)cop(=o)(o)op(=o)(o)o)o)o	6022
aee-788	chembl587723	db12558	ccn1ccn(cc1)cc2=cc=c(c=c2)c3=cc4=c(n3)n=cn=c4n[c@h](c)c5=cc=cc=c5	10297043
afacifenacin	chembl3545165	NA	c1cn(ccc1n2c(c3=cc=cc=c3nc2=o)c4=cc=cc=c4)cc5=cc(=cc=c5)oc(f)(f)f	10188853
afatinib	chembl1173655	db08916	cn(c)c/c=c/c(=o)nc1=c(c=c2c(=c1)c(=nc=n2)nc3=cc(=c(c=c3)f)cl)o[c@h]4ccoc4	10184653
aflibercept	chembl1742982	db08885	NA	NA
agomelatine	chembl10878	db06594	cc(=o)nccc1=cc=cc2=c1c=c(c=c2)oc	82148
albumin human	chembl1201451	db00062	NA	NA
alectinib	chembl1738797	db11363	ccc1=c(c=c2c(=c1)c(=o)c3=c(c2(c)c)nc4=c3c=cc(=c4)c#n)n5ccc(cc5)n6ccocc6	49806720
alpelisib	chembl2396661	db12015	cc1=c(sc(=n1)nc(=o)n2ccc[c@h]2c(=o)n)c3=cc(=nc=c3)c(c)(c)c(f)(f)f	56649450
alseroxylon	chembl1201454	db09363	NA	62816
altiratinib	chembl3545365	NA	c1cc1c(=o)nc2=nc=cc(=c2)oc3=c(c=c(c(=c3)f)nc(=o)c4(cc4)c(=o)nc5=cc=c(c=c5)f)f	54576299
amantadine hydrochloride	chembl1569	db00915	c1c2cc3cc1cc(c2)(c3)n.cl	64150
amg-337	chembl3545212	NA	NA	44181686
amg-900	chembl2140408	NA	cc1=csc(=c1)c2=nn=c(c3=cc=cc=c32)nc4=cc=c(c=c4)oc5=c(c=cc=n5)c6=nc(=nc=c6)n	24856041
amifostine	chembl1006	db01143	c(cn)cnccsp(=o)(o)o	2141
aminoglutethimide	chembl488	db00357	ccc1(ccc(=o)nc1=o)c2=cc=c(c=c2)n	2145
amiodarone	chembl633	db01118	ccccc1=c(c2=cc=cc=c2o1)c(=o)c3=cc(=c(c(=c3)i)occn(cc)cc)i	2157
amiselimod hydrochloride	chembl3707374	NA	cccccccoc1=c(c=c(c=c1)ccc(co)(co)n)c(f)(f)f.cl	67418070
amlexanox	chembl1096	db01025	cc(c)c1=cc2=c(c=c1)oc3=nc(=c(c=c3c2=o)c(=o)o)n	2161
amphotericin b	chembl267345	db00681	c[c@h]1/c=c/c=c/c=c/c=c/c=c/c=c/c=c/[c@@h](c[c@h]2[c@@h]([c@h](c[c@](o2)(c[c@h](c[c@h]([c@@h](cc[c@h](c[c@h](cc(=o)o[c@h]([c@@h]([c@@h]1o)c)c)o)o)o)o)o)o)o)c(=o)o)o[c@h]3[c@h]([c@h]([c@@h]([c@h](o3)c)o)n)o	118705500
amsacrine	chembl43	db00276	coc1=c(c=cc(=c1)ns(=o)(=o)c)nc2=c3c=cc=cc3=nc4=cc=cc=c42	2179
anakinra	chembl1201570	db00026	NA	NA
anandamide	chembl15848	NA	ccccc/c=c\c/c=c\c/c=c\c/c=c\cccc(=o)ncco	5281969
anastrozole	chembl1399	db01217	cc(c)(c#n)c1=cc(=cc(=c1)cn2c=nc=n2)c(c)(c)c#n	2187
androstenedione	chembl274826	db01536	c[c@]12ccc(=o)c=c1cc[c@@h]3[c@@h]2cc[c@]4([c@h]3ccc4=o)c	2193
anlotinib	chembl3545021	db11885	NA	25017411
anthracene-9-carboxylic acid	chembl1513985	NA	c1=cc=c2c(=c1)c=c3c=cc=cc3=c2c(=o)o	2201
antibiotic	chembl606111	NA	c[c@h](c(=o)n[c@@h](c)p(=o)(cc(ccc(=o)o)c(=o)o)o)oc1c(c(oc(c1o)co)op(=o)(o)op(=o)(o)oc[c@@h]2[c@h]([c@h](c(o2)n3c=c(c(=o)nc3=o)i)o)o)nc(=o)c	46874763
apitolisib	chembl1922094	db12180	cc1=c(sc2=c1n=c(n=c2n3ccocc3)c4=cn=c(n=c4)n)cn5ccn(cc5)c(=o)[c@h](c)o	25254071
arachidonic acid	chembl15594	db04557	ccccc/c=c\c/c=c\c/c=c\c/c=c\cccc(=o)o	444899
arecaidine propargyl ester	chembl128365	NA	cn1ccc=c(c1)c(=o)occ#c	2229
arq-087	chembl3545421	NA	NA	46834118
arq-092	chembl3545422	NA	NA	53262401
articaine hydrochloride	chembl1200819	db09009	cccnc(c)c(=o)nc1=c(sc=c1c)c(=o)oc.cl	32169
asm-024	chembl3707249	NA	NA	117587641
asparaginase	chembl2108989	db00023	NA	NA
at-13148	chembl3544960	NA	c1=cc(=cc=c1c2=cnn=c2)[c@@](cn)(c3=cc=c(c=c3)cl)o	24905401
at-7519	chembl445813	db08142	c1cnccc1nc(=o)c2=c(c=nn2)nc(=o)c3=c(c=cc=c3cl)cl	11338033
at-9283	chembl495727	db05169	c1cc1nc(=o)nc\2=cnn/c2=c/3\n=c4c=cc(=cc4=n3)cn5ccocc5	11496629
atagabalin	chembl593430	db12032	c[c@h]1cc(c[c@@h]1c)(cc(=o)o)cn	9794485
atenolol	chembl24	db00335	cc(c)ncc(coc1=cc=c(c=c1)cc(=o)n)o	2249
atezolizumab	chembl3707227	db11595	NA	NA
atorvastatin	chembl1487	db01076	cc(c)c1=c(c(=c(n1cc[c@h](c[c@h](cc(=o)o)o)o)c2=cc=c(c=c2)f)c3=cc=cc=c3)c(=o)nc4=cc=cc=c4	60823
atracurium	chembl1360	db00732	c[n+]1(ccc2=cc(=c(c=c2c1cc3=cc(=c(c=c3)oc)oc)oc)oc)ccc(=o)occcccoc(=o)cc[n+]4(ccc5=cc(=c(c=c5c4cc6=cc(=c(c=c6)oc)oc)oc)oc)c	47319
atracurium besylate	chembl1200527	db00732	c[n+]1(ccc2=cc(=c(c=c2c1cc3=cc(=c(c=c3)oc)oc)oc)oc)ccc(=o)occcccoc(=o)cc[n+]4(ccc5=cc(=c(c=c5c4cc6=cc(=c(c=c6)oc)oc)oc)oc)c.c1=cc=c(c=c1)s(=o)(=o)[o-].c1=cc=c(c=c1)s(=o)(=o)[o-]	47320
atropine sulfate	chembl2146146	db00572	cn1[c@@h]2cc[c@h]1cc(c2)oc(=o)c(co)c3=cc=cc=c3.os(=o)(=o)o	12310714
av-101	chembl3545351	db12878	c1=cc(=c(c=c1cl)n)c(=o)cc(c(=o)o)n	173480
avagacestat	chembl1090771	db11893	c1=cc(=cc=c1s(=o)(=o)n(cc2=c(c=c(c=c2)c3=noc=n3)f)[c@h](ccc(f)(f)f)c(=o)n)cl	46883536
azacitidine	chembl1489	db00928	c1=nc(=nc(=o)n1[c@h]2[c@@h]([c@@h]([c@h](o2)co)o)o)n	9444
azd-1775	chembl1976040	db11740	cc(c)(c1=nc(=cc=c1)n2c3=nc(=nc=c3c(=o)n2cc=c)nc4=cc=c(c=c4)n5ccn(cc5)c)o	24856436
azd-4547	chembl3184679	db12247	cc1cn(cc(n1)c)c2=cc=c(c=c2)c(=o)nc3=nnc(=c3)ccc4=cc(=cc(=c4)oc)oc	57430866
azd-5363	chembl2178577	db12218	ccn(c1ccn(cc1)cc[c@h](c2ccc(cc2)s(=o)(=o)c)c3=cc(=cc(=c3)f)f)c(=o)cc4=cc=c(c=c4)s(=o)(=o)c	71451877
azd-5438	chembl488436	NA	cc1=nc=c(n1c(c)c)c2=nc(=nc=c2)nc3=cc=c(c=c3)s(=o)(=o)c	16747683
azd-6482	chembl2165191	NA	cc1=cn2c(=o)c=c(n=c2c(=c1)[c@@h](c)nc3=cc=cc=c3c(=o)o)n4ccocc4	44137675
azd-8055	chembl1801204	db12774	c[c@h]1coccn1c2=nc(=nc3=c2c=cc(=n3)c4=cc(=c(c=c4)oc)co)n5ccoc[c@@h]5c	25262965
azd-8186	chembl3545424	NA	NA	52913813
azd1305	chembl3545169	db11766	cc(c)(c)oc(=o)nccn1cc2cn(cc(c1)o2)ccoc3=c(c=c(c=c3)c#n)f	15605092
azd8108	chembl3707355	NA	NA	NA
azithromycin	chembl529	db00207	cc[c@@h]1[c@@]([c@@h]([c@h](n(c[c@@h](c[c@@]([c@@h]([c@h]([c@@h]([c@h](c(=o)o1)c)o[c@h]2c[c@@]([c@h]([c@@h](o2)c)o)(c)oc)c)o[c@h]3[c@@h]([c@h](c[c@h](o3)c)n(c)c)o)(c)o)c)c)c)o)(c)o	447043
baclofen	chembl701	db00181	c1=cc(=cc=c1c(cc(=o)o)cn)cl	2284
balanol	chembl60254	db04098	c1c[c@h]([c@@h](cnc1)nc(=o)c2=cc=c(c=c2)o)oc(=o)c3=cc(=c(c(=c3)o)c(=o)c4=c(c=cc=c4o)c(=o)o)o	5287736
bardoxolone methyl	chembl1762621	NA	c[c@@]12cc[c@]3(ccc(c[c@h]3[c@h]1c(=o)c=c4[c@]2(cc[c@@h]5[c@@]4(c=c(c(=o)c5(c)c)c#n)c)c)(c)c)c(=o)oc	400769
bay-1125976	chembl3545049	NA	NA	70817911
becampanel	chembl2107735	NA	cscccnc(=o)c1=csc(=n1)c2=csc(=n2)ccnc(=o)ccc(=o)n3cc(c4=c3c=c(c5=cc=cc=c54)o)ccl	154082
